CustomerId,CustomerName,CustomerCity,CustomerState,CustomerEmail,CustomerPhone
JRK07IRCIJ,Anne Fernandez,Charlotte,NC,annef@yahoo.com,212-776-4435
ZJX5W46O91,Adam Brown,Fremont,CA,adamb@googlemail.com,214-778-6654
1AYIINRJT0,Rob Wilson,Michigan City,MI,rob.wilson@gmail.com,206-877-8996
T7DVIB2J8L,Jackie Wood,Seattle,WA,jackie@yahoo.com,408-887-6675
OCLA2XGTB8,Steve Butler,Kirkland,WA,steveb@carolsoft.com,408-776-8897
VS753ZSZJA,Daniel McMillan,Kirkland,WA,dan@live.com,212-776-4435
9HEX4GFUH3,Jennifer Anderson,Philadelphia,PA,jenn@googlemail.com,817-998-2213
3CO5UI3EXX,Mark Twian,Philadelphia,PA,mark@aol.com,408-887-6675
Y9SPOA6IW7,Richard Sanderson,Philadelphia,PA,richards@carolsoft.com,408-887-6675
HNTG8YGROW,Alice McGill,Denver,CO,alicemc@gmail.com,212-776-4435
